,id,title,release_date,key,characters,genre
319,980979,The psychology of post-traumatic stress disorder,2018-06-25,Psycho,Narrator (voice),"[99, 16]"
320,801927,Psycho/Viennale Spot,1997-09-01,Psycho,[],[]
321,523035,untitled psychological drama project,,Psycho,[],[18]
322,770155,The Jesus and Mary Chain: Psychocandy,2011-09-27,Psycho,Self,[10402]
323,1033731,Frat Boy Psycho,2021-11-05,Psycho,John,[35]
324,786811,Psycho Pussy Slaughter,2007-01-01,Psycho,[],[]
325,253866,Hysterical Psycho,2009-04-29,Psycho,Chuck,[27]
326,531550,La Psycho,2016-01-01,Psycho,[],[16]
327,1024073,3 Psychopathes,1991-06-01,Psycho,,[27]
328,807412,Cult of the Psycho Sisters,2017-01-13,Psycho,[],[]
329,572943,Psychopath,,Psycho,Sarah,[]
330,1062788,Psychosis,2020-11-20,Psycho,Jasper,[53]
331,1057482,Psychosis Awakens And Craves Earthly Essence,2022-07-08,Psycho,[],[]
332,562602,Psychosynthesis,1975-01-01,Psycho,[],[]
333,567841,Psycho Wimp,1980-03-21,Psycho,[],[]
334,809822,Psycho Norman's 1st Cousin Once Removed,,Psycho,Mr Bates,[]
335,280037,Psycho Re-Mix,2003-01-01,Psycho,[],[]
336,810498,Psychology Today,2021-02-24,Psycho,[],[]
337,1049437,Psychology of Camera Presence,1974-02-09,Psycho,[],[]
338,1042076,Halloweenie: Curse of the Psycho Chef,1997-01-01,Psycho,[],[]
339,1040606,Psychose Nocturne,,Psycho,[],[]
340,523035,untitled psychological drama project,,Psycho,[],[18]
341,507489,Anti-Pervert Manual,2008-10-09,Psycho,Girl,"[27, 35]"
342,752151,My Psycho Fan,,Psycho,[],[]
343,505630,Psycho Vertical,2018-03-02,Psycho,Himself,[]
344,201642,Sloppy the Psychotic,2012-02-25,Psycho,Sloppy,[27]
345,1075666,Constructing a Psychological Horror,,Psycho,Self,[99]
346,301413,Greek Psycho Cannibal,2009-03-01,Psycho,[],[]
347,829621,My School III: The Psycho Pupil,,Psycho,Kevin Markson,[]
