,Unnamed: 0,id,adult,release_date,genre_ids,original_title,original_language,title,popularity,vote_count,vote_average,media_type,budget,duration,revenues,spoken_languagess,genre_list,is_terror_comedia,val_count,quantile,Música,Romance,Familia,Bélica,Película de TV,Aventura,Fantasía,Animación,Drama,Terror,Acción,Comedia,Historia,Western,Suspense,Crimen,Ciencia ficción,Misterio,Documental,reciente
1480,1480,827,False,1955-11-21,18-27-53,Les Diaboliques,fr,Las diabólicas,12.173,795,7.9,movie,0,117,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['18', '27', '53']",1,153,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,68
1481,1481,53080,False,2009-07-25,27-28-10770,Malibu Shark Attack,en,Tiburones en Malibú,9.394,79,4.3,movie,3000000,87,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '28', '10770']",0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14
1482,1482,553141,False,2019-04-05,27-14,The Head Hunter,en,The Head Hunter,9.783,249,5.3,movie,30000,72,44652,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '14']",0,63,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4
1483,1483,68684,False,2011-03-16,27-35-878,Detention,en,Castigo sangriento,10.524,322,5.7,movie,10000000,93,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '35', '878']",0,24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,12
1484,1484,16205,False,2007-10-09,27-28-35,Jack Brooks: Monster Slayer,en,Jack Brooks: Cazador de Monstruos,9.521,141,5.7,movie,0,85,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '28', '35']",0,17,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,16
1485,1485,28635,False,2001-10-23,53-27-14,Wishmaster 3: Beyond the Gates of Hell,en,Wishmaster 3: La piedra del diablo,13.27,132,4.5,movie,1500000,89,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['53', '27', '14']",1,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,22
1486,1486,354251,False,2016-02-05,14-53-27-878,Southbound,en,Southbound,13.524,540,5.9,movie,0,89,23665,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['14', '53', '27', '878']",1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,7
1487,1487,9538,False,1981-01-14,878-27,Scanners,en,Scanners,13.018,994,6.7,movie,4100000,103,14225876,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['878', '27']",0,110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,42
1488,1488,339994,False,2016-09-16,18-80-53-27,The Good Neighbor,en,Alguien está vigilándote,11.274,383,6.2,movie,0,98,90573,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['18', '80', '53', '27']",1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,7
1489,1489,30062,False,1977-05-13,27-53,Eaten Alive,en,Trampa mortal,9.267,145,5.4,movie,520000,91,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,46
